time,duration,source_ip,destination_ip,protocol,packet_len,dif_serv,flag,ip_vers,src_port,dst_port,data_len,seq,seq_raw,next_seq,ack,ack_raw,flags_res,flags_ns,flags_cwr,flags_ecn,flags_urg,flags_ack,flags_push,flags_reset,flags_syn,flags_fin,win_size,checksum,checksum_status,urgent_pointer,proto_type,proto_size,hw_type,hw_size,hw_opcode,src_hw_mac,dst_hw_mac
0.282799,0,0.039062574,0.140407403,0.023529412,0.02105745,0,64,0.666666667,0.023025864,0.138735027,0.020233463,2.73E-06,0.719950885,3.04E-06,4.21E-08,0.563200212,0,0,0,0,0,1,1,0,0,0,0.00779736,0.145311666,2,0,0,0,0,0,0,0,0
0.340823,0.05802393,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,4.21E-08,0.563200212,4.21E-08,3.04E-06,0.719951193,0,0,0,0,0,1,0,0,0,0,0.770428016,0.937193866,2,0,0,0,0,0,0,0,0
0.340874,5.10E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,3.04E-06,0.719951193,3.05E-06,4.21E-08,0.563200212,0,0,0,0,0,1,1,0,0,0,0.00779736,0.823300526,2,0,0,0,0,0,0,0,0
0.397215,0.056341171,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,4.21E-08,0.563200212,6.31E-08,3.05E-06,0.7199512,0,0,0,0,0,1,1,0,0,0,0.770428016,0.990112154,2,0,0,0,0,0,0,0,0
0.423887,0.026671886,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,3.05E-06,0.7199512,3.09E-06,6.31E-08,0.563200232,0,0,0,0,0,1,1,0,0,0,0.00779736,0.086228733,2,0,0,0,0,0,0,0,0
0.424009,0.00012207,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,3.09E-06,0.719951239,3.42E-06,6.31E-08,0.563200232,0,0,0,0,0,1,0,0,0,0,0.00779736,0.747524224,2,0,0,0,0,0,0,0,0
0.424009,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,3.42E-06,0.71995157,3.75E-06,6.31E-08,0.563200232,0,0,0,0,0,1,0,0,0,0,0.00779736,0.832257572,2,0,0,0,0,0,0,0,0
0.424009,0,0.039062574,0.140407403,0.023529412,0.021103227,0,64,0.666666667,0.023025864,0.138735027,0.02027924,3.75E-06,0.7199519,4.06E-06,6.31E-08,0.563200232,0,0,0,0,0,1,1,0,0,0,0.00779736,0.465812161,2,0,0,0,0,0,0,0,0
0.477132,0.053122997,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,6.31E-08,0.563200232,6.31E-08,3.42E-06,0.71995157,0,0,0,0,0,1,0,0,0,0,0.770428016,0.911161975,2,0,0,0,0,0,0,0,0
0.477132,0,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,6.31E-08,0.563200232,6.31E-08,4.06E-06,0.71995221,0,0,0,0,0,1,0,0,0,0,0.770428016,0.869214923,2,0,0,0,0,0,0,0,0
0.477195,6.29E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,4.06E-06,0.71995221,4.06E-06,6.31E-08,0.563200232,0,0,0,0,0,1,1,0,0,0,0.00779736,0.650522621,2,0,0,0,0,0,0,0,0
0.56069,0.083494902,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,6.31E-08,0.563200232,8.41E-08,4.06E-06,0.719952217,0,0,0,0,0,1,1,0,0,0,0.770428016,0.774639506,2,0,0,0,0,0,0,0,0
0.581753,0.021063089,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,4.06E-06,0.719952217,4.10E-06,8.41E-08,0.563200253,0,0,0,0,0,1,1,0,0,0,0.00779736,0.01248188,2,0,0,0,0,0,0,0,0
0.581889,0.000136137,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,4.10E-06,0.719952255,4.43E-06,8.41E-08,0.563200253,0,0,0,0,0,1,0,0,0,0,0.00779736,0.805340658,2,0,0,0,0,0,0,0,0
0.581889,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,4.43E-06,0.719952586,4.76E-06,8.41E-08,0.563200253,0,0,0,0,0,1,0,0,0,0,0.00779736,0.082429236,2,0,0,0,0,0,0,0,0
0.581889,0,0.039062574,0.140407403,0.023529412,0.021103227,0,64,0.666666667,0.023025864,0.138735027,0.02027924,4.76E-06,0.719952917,5.07E-06,8.41E-08,0.563200253,0,0,0,0,0,1,1,0,0,0,0.00779736,0.357213703,2,0,0,0,0,0,0,0,0
0.63279,0.050900936,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,8.41E-08,0.563200253,8.41E-08,4.43E-06,0.719952586,0,0,0,0,0,1,0,0,0,0,0.770428016,0.843183032,2,0,0,0,0,0,0,0,0
0.63279,0,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,8.41E-08,0.563200253,8.41E-08,5.07E-06,0.719953226,0,0,0,0,0,1,0,0,0,0,0.770428016,0.801235981,2,0,0,0,0,0,0,0,0
